medio,universidad,link,fecha
Ciudad Vaga,univalle,https://www.youtube.com/watch?v=5NAPuBDfpJo,08/11/2013
Ciudad Vaga,univalle,https://www.youtube.com/watch?v=gzy2UAkXlR0,09/11/2013
Ciudad Vaga,univalle,https://www.youtube.com/watch?v=kExj2uKEatA,09/11/2013
el anzuelo medios,universidadIbague,https://www.youtube.com/watch?v=UpnlSuGDZRc,19/05/2015
el anzuelo medios,universidadIbague,https://www.youtube.com/watch?v=O7H2dI7H3HI,27/11/2018
de la urbe,udea,https://www.youtube.com/watch?v=FenOqGEzlkA,20/06/2018
de la urbe,udea,https://www.youtube.com/watch?v=f710kybdH4I ,04/12/2018
de la urbe,udea,https://www.youtube.com/watch?v=Cc9-J7TjT7U,20/06/2018
de la urbe,udea,https://www.youtube.com/watch?v=AKBCNSfVOFA,20/06/2018
de la urbe,udea,https://www.youtube.com/watch?v=WZrANu9ggCo,07/04/2017
de la urbe,udea,https://www.youtube.com/watch?v=zUQ6Fk73qWw ,12/04/2017
unisabana medios,unisabana ,https://www.youtube.com/watch?v=TrSHRjgC89k ,31/01/2019
unisabana medios,unisabana ,https://www.youtube.com/watch?v=CBa7hSsAGSo,25/11/2012
unisabana medios,unisabana ,https://www.youtube.com/watch?v=ikPjJh8WNsE,28/05/2012
bitacora,eafit,https://www.youtube.com/watch?v=WPu3qHP0XLU ,14/03/2018
bitacora,eafit,https://www.youtube.com/watch?v=QIWCHKFMu4s ,21/02/2018
bitacora,eafit,https://www.youtube.com/watch?v=g2zYfkuty44,28/06/2018
bitacora,eafit,https://www.youtube.com/watch?v=vEWtf8mQFp0 ,28/06/2018
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=VRXZhZCS0lM,06/07/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=C901qPbfKwM ,07/07/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=navZ3I5i12c,13/12/2019
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=MwrfgLkPMKg,07/09/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=ZTrUUzlds4g,16/03/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=Tf7jkB30hyE,16/03/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=AVM7yC2TolQ,16/03/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=ynvbviQQWxE,16/03/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=YXVpxIYLdTA,16/03/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=PiCJvXnXLec,13/02/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=R8fdf1BVk_E,11/02/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=SIZiDRaLQog,11/02/2020
Unidad periodística del Politécnico Grancolombiano,politecnico,https://www.youtube.com/watch?v=U3Pm0_okC3k,11/02/2020
