palabra clave,corpus,universidad,region,ruta 
Víctimas de Ejecuciones extrajudiciales,web,universidadManizales,antioquia y eje cafetero,conflicto armado
Víctimas de Ejecuciones extrajudiciales,periodicos,bolivarianaBucaramanga,antioquia y eje cafetero,conflicto armado
Víctimas de Ejecuciones extrajudiciales,sonoro,udea,antioquia y eje cafetero,conflicto armado
desmovilizados ,periodicos,uniminutoMedellin,antioquia y eje cafetero,memoria de las victimas
desmovilizados ,periodicos,udea,antioquia y eje cafetero,memoria de las victimas
desmovilizados ,web,bolivarianaMedellin,antioquia y eje cafetero,memoria de las victimas
desmovilizados ,periodicos,bolivarianaMedellin,antioquia y eje cafetero,memoria de las victimas
desmovilizados ,web,eafit,antioquia y eje cafetero,memoria de las victimas
desmovilizados ,sonoro,bolivarianaMedellin,antioquia y eje cafetero,memoria de las victimas
desmovilizados ,periodicos,uniminutoradio ,antioquia y eje cafetero,memoria de las victimas
comuna 13,audiovisual,eafit,antioquia y eje cafetero,proceso de paz
comuna 13,web,uniminutoMedellin,antioquia y eje cafetero,proceso de paz
comuna 13,web,luisAmigo,antioquia y eje cafetero,proceso de paz
comuna 13,sonoro,universidadManizales,antioquia y eje cafetero,proceso de paz
comuna 13,web,rosario,antioquia y eje cafetero,proceso de paz
comuna 13,periodicos,luisAmigo,antioquia y eje cafetero,proceso de paz
comuna 13,periodicos,santiagoCali,antioquia y eje cafetero,proceso de paz
comuna 13,web,unisabana,antioquia y eje cafetero,proceso de paz
