universidad,fecha,nombre,link,paginas
uniminutoradio,01/03/18,edicion_45,https://issuu.com/dateatealminuto/docs/dateate_edicion_45_v6_impresion,17-18
uniminutoradio,01/08/18,edicion_46,https://issuu.com/dateatealminuto/docs/dateate_edicion_46_v5__1_,15
uniminutoradio,01/08/17,edicion_43,https://issuu.com/dateatealminuto/docs/dat_ate_al_minuto._edici_n___43,8-9
uniminutoradio,01/08/17,edicion_43,https://issuu.com/dateatealminuto/docs/dat_ate_al_minuto._edici_n___43,12
uniminutoradio,01/09/16,edicion_39,https://issuu.com/dateatealminuto/docs/periodico_dateateed36_23-11-2016_im,2
uniminutoradio,01/09/16,edicion_39,https://issuu.com/dateatealminuto/docs/periodico_dateateed36_23-11-2016_im,21
uniminutoradio,01/09/16,edicion_39,https://issuu.com/dateatealminuto/docs/periodico_dateateed36_23-11-2016_im,23
uniminutoradio,01/05/16,edicion_38,https://issuu.com/dateatealminuto/docs/periodico_dateate_38_28-05-2016_fin,2
uniminutoradio,01/05/16,edicion_38,https://issuu.com/dateatealminuto/docs/periodico_dateate_38_28-05-2016_fin,7
uniminutoradio,01/05/16,edicion_38,https://issuu.com/dateatealminuto/docs/periodico_dateate_38_28-05-2016_fin,12-13
uniminutoradio,01/05/16,edicion_38,https://issuu.com/dateatealminuto/docs/periodico_dateate_38_28-05-2016_fin,14
uniminutoradio,01/05/15,edicion_34,https://issuu.com/dateatealminuto/docs/periodico_dateate_28-05-2015_listo,4-5
uniminutoradio,01/05/15,edicion_34,https://issuu.com/dateatealminuto/docs/periodico_dateate_28-05-2015_listo,21-22
uniminutoradio,01/11/14,edicion_32,https://issuu.com/dateatealminuto/docs/periodico_dateate_noviembre_final_,2-3
uniminutoradio,01/11/14,edicion_32,https://issuu.com/dateatealminuto/docs/periodico_dateate_noviembre_final_,7
uniminutoradio,01/11/14,edicion_32,https://issuu.com/dateatealminuto/docs/periodico_dateate_noviembre_final_,20
uniminutoradio,01/10/14,edicion_31,https://issuu.com/dateatealminuto/docs/dateate_sep_oct2014_web,3
uniminutoradio,01/10/14,edicion_31,https://issuu.com/dateatealminuto/docs/dateate_sep_oct2014_web,11
uniminutoradio,01/10/14,edicion_31,https://issuu.com/dateatealminuto/docs/dateate_sep_oct2014_web,12-13
uniminutoradio,01/10/14,edicion_31,https://issuu.com/dateatealminuto/docs/dateate_sep_oct2014_web,14-15
uniminutoradio,01/07/14,edicion_30,https://issuu.com/dateatealminuto/docs/dateate_julio2014_para_web,2
uniminutoradio,01/07/14,edicion_30,https://issuu.com/dateatealminuto/docs/dateate_julio2014_para_web,8
universidadBoyaca,08/11/12,pretexto_2,https://issuu.com/revistaunpretexto/docs/revista_un_pretexto_no._2,48-51
universidadBoyaca,01/01/13,pretexto_4,https://issuu.com/revistaunpretexto/docs/revista_un_pretexto_no._4,28-35
universidadBoyaca,01/01/15,pretexto_6,https://issuu.com/revistaunpretexto/docs/revista_un_pretexto_no._6,21-27
universidadBoyaca,01/01/16,pretexto_6,https://issuu.com/revistaunpretexto/docs/revista_un_pretexto_no._6,47-53
universidadBoyaca,01/01/17,pretexto_8,https://issuu.com/revistaunpretexto/docs/revista_un_pretexto_no._8,65-69
uniminutoMedellin,01/08/14,norte_1,https://issuu.com/robinmejia/docs/norteurbano,7
uniminutoMedellin,01/05/16,norte_3,https://issuu.com/robinmejia/docs/edici__n_no._3__1_,3
uniminutoMedellin,01/05/16,norte_3,https://issuu.com/robinmejia/docs/edici__n_no._3__1_,12-13
uniminutoMedellin,01/01/19,norte_5,https://issuu.com/robinmejia/docs/norteurbano_5_2.0_final,7
uniminutoMedellin,01/01/19,norte_5,https://issuu.com/robinmejia/docs/norteurbano_5_2.0_final,8
uniminutoMedellin,01/01/19,norte_5,https://issuu.com/robinmejia/docs/norteurbano_5_2.0_final,12
uniminutoMedellin,01/01/19,norte_5,https://issuu.com/robinmejia/docs/norteurbano_5_2.0_final,16
uniminutoMedellin,01/01/20,norte_6,https://issuu.com/robinmejia/docs/norteurbano_6,2
uniminutoMedellin,01/01/20,norte_6,https://issuu.com/robinmejia/docs/norteurbano_6,6
uniminutoMedellin,01/01/20,norte_6,https://issuu.com/robinmejia/docs/norteurbano_6,9
uniminutoMedellin,01/01/20,norte_6,https://issuu.com/robinmejia/docs/norteurbano_6,10
uniminutoMedellin,01/01/20,norte_6,https://issuu.com/robinmejia/docs/norteurbano_6,12
uniminutoMedellin,01/01/20,norte_6,https://issuu.com/robinmejia/docs/norteurbano_6,16
uniminutoMedellin,01/01/20,norte_6,https://issuu.com/robinmejia/docs/norteurbano_6,18
santiagoCali,4/12/20,utopicos_208,https://issuu.com/utopicos/docs/ut_picos_facultad_208,3
santiagoCali,1/10/20,utopicos_202,https://issuu.com/utopicos/docs/ut_picos_octubre_-_noviembre__2020,10-11
santiagoCali,01/09/20,utopicos_202_bis,https://issuu.com/utopicos/docs/ut_picos_facultad202,5-6
santiagoCali,01/07/20,utopicos_4,https://issuu.com/utopicos/docs/ut_picos_edici_n__julio_-_agosto_-_a_o_13-n__04_fi,8
santiagoCali,01/07/20,utopicos_4,https://issuu.com/utopicos/docs/ut_picos_edici_n__julio_-_agosto_-_a_o_13-n__04_fi,14
santiagoCali,06/06/19,utopicos_182,https://issuu.com/utopicos/docs/ut_picos_facultad_182,4-5
