medio,universidad,link
Ciudad Vaga,universidad del valle,https://www.youtube.com/watch?v=5NAPuBDfpJo
Ciudad Vaga,universidad del valle,https://www.youtube.com/watch?v=gzy2UAkXlR0
Ciudad Vaga,universidad del valle,https://www.youtube.com/watch?v=kExj2uKEatA
el anzuelo medios,universidad de ibague,https://www.youtube.com/watch?v=UpnlSuGDZRc
el anzuelo medios,universidad de ibague,https://www.youtube.com/watch?v=O7H2dI7H3HI
de la urbe,udea,https://www.youtube.com/watch?v=f710kybdH4I https://www.youtube.com/watch?v=FenOqGEzlkA
de la urbe,udea,https://www.youtube.com/watch?v=AKBCNSfVOFA https://www.youtube.com/watch?v=Cc9-J7TjT7U
de la urbe,udea,https://www.youtube.com/watch?v=zUQ6Fk73qWw https://www.youtube.com/watch?v=WZrANu9ggCo
unisabana medios,unisabana ,https://www.youtube.com/watch?v=TrSHRjgC89k 
unisabana medios,unisabana ,https://www.youtube.com/watch?v=CBa7hSsAGSo
unisabana medios,unisabana ,https://www.youtube.com/watch?v=ikPjJh8WNsE
bitacora,eafit,https://www.youtube.com/watch?v=QIWCHKFMu4s https://www.youtube.com/watch?v=WPu3qHP0XLU
bitacora,eafit,https://www.youtube.com/watch?v=vEWtf8mQFp0 https://www.youtube.com/watch?v=g2zYfkuty44
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=C901qPbfKwM https://www.youtube.com/watch?v=VRXZhZCS0lM
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=navZ3I5i12c
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=MwrfgLkPMKg
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=ZTrUUzlds4g
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=Tf7jkB30hyE
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=AVM7yC2TolQ
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=ynvbviQQWxE
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=YXVpxIYLdTA
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=PiCJvXnXLec
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=R8fdf1BVk_E
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=SIZiDRaLQog
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=U3Pm0_okC3k
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=NS1VyWsMTNs
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=U3Pm0_okC3k
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=MuNQrqjTczY
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=uly6BRWdEgA
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=dJhTe43ec1w
Unidad periodística del Politécnico Grancolombiano,Unidad periodística del Politécnico Grancolombiano,https://www.youtube.com/watch?v=nobRtmykuhU
